Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S1 testrun dynamic,,,,2024-02-17 18:30:25,2024-02-17 18:31:12,46.795s,PASSED
,,,,,,,
Test Cases/Validate login without account,,,,2024-02-17 18:30:25,2024-02-17 18:30:52,26.916s,PASSED
"startApplication(""/Users/naufalpry/Downloads/astro-release.apk"", true)",,,,2024-02-17 18:30:26,2024-02-17 18:30:45,19.147s,PASSED
"tap(findTestObject(""Object Repository/Login/Login without account/android.widget.TextView - Mulai pakai Astro""), 0)",,,,2024-02-17 18:30:45,2024-02-17 18:30:47,2.656s,PASSED
"tap(findTestObject(""Object Repository/Login/Login without account/android.widget.Button""), 0)",,,,2024-02-17 18:30:47,2024-02-17 18:30:48,0.788s,PASSED
"tap(findTestObject(""Object Repository/Login/Login without account/android.widget.TextView - Masuk tanpa akun""), 0)",,,,2024-02-17 18:30:48,2024-02-17 18:30:49,1.194s,PASSED
"tap(findTestObject(""Object Repository/Login/Login without account/android.widget.ImageView""), 0)",,,,2024-02-17 18:30:49,2024-02-17 18:30:50,0.715s,PASSED
"getText(findTestObject(""Object Repository/Login/Login without account/android.widget.TextView - Spesial di Astro""), 0)",,,,2024-02-17 18:30:50,2024-02-17 18:30:51,0.815s,PASSED
closeApplication(),,,,2024-02-17 18:30:51,2024-02-17 18:30:52,1.205s,PASSED
,,,,,,,
Test Cases/validate no phone should be filled,,,,2024-02-17 18:30:52,2024-02-17 18:31:12,19.439s,PASSED
"startApplication(""/Users/naufalpry/Downloads/astro-release.apk"", true)",,,,2024-02-17 18:30:52,2024-02-17 18:31:05,12.743s,PASSED
"tap(findTestObject(""Object Repository/Login/Validate Phone Null/android.widget.Button""), 0)",,,,2024-02-17 18:31:05,2024-02-17 18:31:08,2.544s,PASSED
"tap(findTestObject(""Object Repository/Login/Validate Phone Null/android.widget.Button (1)""), 0)",,,,2024-02-17 18:31:08,2024-02-17 18:31:09,0.911s,PASSED
"tap(findTestObject(""Object Repository/Login/Validate Phone Null/android.widget.TextView - Nomor Handphone""), 0)",,,,2024-02-17 18:31:09,2024-02-17 18:31:09,0.208s,PASSED
"tap(findTestObject(""Object Repository/Login/Validate Phone Null/android.widget.TextView - Lanjut""), 0)",,,,2024-02-17 18:31:09,2024-02-17 18:31:10,1.077s,PASSED
"getText(findTestObject(""Object Repository/Login/Validate Phone Null/android.widget.TextView - Isi nomor handphone dulu, yuk""), 0)",,,,2024-02-17 18:31:10,2024-02-17 18:31:10,0.224s,PASSED
closeApplication(),,,,2024-02-17 18:31:10,2024-02-17 18:31:12,1.395s,PASSED
